,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
8,01/01/2020,1.0,1.0,N,HB_HUBAVG,AH,12.46
100,01/01/2020,2.0,1.0,N,HB_HUBAVG,AH,13.14
192,01/01/2020,3.0,1.0,N,HB_HUBAVG,AH,12.19
284,01/01/2020,4.0,1.0,N,HB_HUBAVG,AH,10.13
376,01/01/2020,5.0,1.0,N,HB_HUBAVG,AH,7.0
468,01/01/2020,6.0,1.0,N,HB_HUBAVG,AH,9.28
560,01/01/2020,7.0,1.0,N,HB_HUBAVG,AH,10.02
652,01/01/2020,8.0,1.0,N,HB_HUBAVG,AH,11.75
744,01/01/2020,9.0,1.0,N,HB_HUBAVG,AH,11.9
836,01/01/2020,10.0,1.0,N,HB_HUBAVG,AH,13.26
928,01/01/2020,11.0,1.0,N,HB_HUBAVG,AH,14.15
1020,01/01/2020,12.0,1.0,N,HB_HUBAVG,AH,14.42
1112,01/01/2020,13.0,1.0,N,HB_HUBAVG,AH,15.65
1204,01/01/2020,14.0,1.0,N,HB_HUBAVG,AH,16.54
1296,01/01/2020,15.0,1.0,N,HB_HUBAVG,AH,16.42
1388,01/01/2020,16.0,1.0,N,HB_HUBAVG,AH,15.73
1480,01/01/2020,17.0,1.0,N,HB_HUBAVG,AH,15.99
1572,01/01/2020,18.0,1.0,N,HB_HUBAVG,AH,16.65
1664,01/01/2020,19.0,1.0,N,HB_HUBAVG,AH,16.94
1756,01/01/2020,20.0,1.0,N,HB_HUBAVG,AH,15.96
1848,01/01/2020,21.0,1.0,N,HB_HUBAVG,AH,14.94
1940,01/01/2020,22.0,1.0,N,HB_HUBAVG,AH,15.76
2032,01/01/2020,23.0,1.0,N,HB_HUBAVG,AH,15.65
2124,01/01/2020,24.0,1.0,N,HB_HUBAVG,AH,14.87
2216,01/02/2020,1.0,1.0,N,HB_HUBAVG,AH,15.35
2308,01/02/2020,2.0,1.0,N,HB_HUBAVG,AH,13.79
2400,01/02/2020,3.0,1.0,N,HB_HUBAVG,AH,14.88
2492,01/02/2020,4.0,1.0,N,HB_HUBAVG,AH,13.31
2584,01/02/2020,5.0,1.0,N,HB_HUBAVG,AH,14.76
2676,01/02/2020,6.0,1.0,N,HB_HUBAVG,AH,14.6
2768,01/02/2020,7.0,1.0,N,HB_HUBAVG,AH,12.86
2860,01/02/2020,8.0,1.0,N,HB_HUBAVG,AH,15.3
2952,01/02/2020,9.0,1.0,N,HB_HUBAVG,AH,15.81
3044,01/02/2020,10.0,1.0,N,HB_HUBAVG,AH,16.31
3136,01/02/2020,11.0,1.0,N,HB_HUBAVG,AH,16.68
3228,01/02/2020,12.0,1.0,N,HB_HUBAVG,AH,17.01
3320,01/02/2020,13.0,1.0,N,HB_HUBAVG,AH,17.44
3412,01/02/2020,14.0,1.0,N,HB_HUBAVG,AH,21.26
3504,01/02/2020,15.0,1.0,N,HB_HUBAVG,AH,17.62
3596,01/02/2020,16.0,1.0,N,HB_HUBAVG,AH,15.79
3688,01/02/2020,17.0,1.0,N,HB_HUBAVG,AH,16.84
3780,01/02/2020,18.0,1.0,N,HB_HUBAVG,AH,19.43
3872,01/02/2020,19.0,1.0,N,HB_HUBAVG,AH,21.91
3964,01/02/2020,20.0,1.0,N,HB_HUBAVG,AH,19.2
4056,01/02/2020,21.0,1.0,N,HB_HUBAVG,AH,18.68
4148,01/02/2020,22.0,1.0,N,HB_HUBAVG,AH,17.59
4240,01/02/2020,23.0,1.0,N,HB_HUBAVG,AH,17.36
4332,01/02/2020,24.0,1.0,N,HB_HUBAVG,AH,18.05
4424,01/03/2020,1.0,1.0,N,HB_HUBAVG,AH,28.54
4516,01/03/2020,2.0,1.0,N,HB_HUBAVG,AH,19.64
4608,01/03/2020,3.0,1.0,N,HB_HUBAVG,AH,17.18
4700,01/03/2020,4.0,1.0,N,HB_HUBAVG,AH,14.89
4792,01/03/2020,5.0,1.0,N,HB_HUBAVG,AH,15.04
4884,01/03/2020,6.0,1.0,N,HB_HUBAVG,AH,15.13
4976,01/03/2020,7.0,1.0,N,HB_HUBAVG,AH,16.11
5068,01/03/2020,8.0,1.0,N,HB_HUBAVG,AH,15.12
5160,01/03/2020,9.0,1.0,N,HB_HUBAVG,AH,15.81
5252,01/03/2020,10.0,1.0,N,HB_HUBAVG,AH,14.6
5344,01/03/2020,11.0,1.0,N,HB_HUBAVG,AH,14.39
5436,01/03/2020,12.0,1.0,N,HB_HUBAVG,AH,13.01
5528,01/03/2020,13.0,1.0,N,HB_HUBAVG,AH,12.3
5620,01/03/2020,14.0,1.0,N,HB_HUBAVG,AH,12.14
5712,01/03/2020,15.0,1.0,N,HB_HUBAVG,AH,13.11
5804,01/03/2020,16.0,1.0,N,HB_HUBAVG,AH,13.73
5896,01/03/2020,17.0,1.0,N,HB_HUBAVG,AH,14.1
5988,01/03/2020,18.0,1.0,N,HB_HUBAVG,AH,16.34
6080,01/03/2020,19.0,1.0,N,HB_HUBAVG,AH,18.77
6172,01/03/2020,20.0,1.0,N,HB_HUBAVG,AH,18.17
6264,01/03/2020,21.0,1.0,N,HB_HUBAVG,AH,17.87
6356,01/03/2020,22.0,1.0,N,HB_HUBAVG,AH,17.41
6448,01/03/2020,23.0,1.0,N,HB_HUBAVG,AH,16.8
6540,01/03/2020,24.0,1.0,N,HB_HUBAVG,AH,17.47
6632,01/04/2020,1.0,1.0,N,HB_HUBAVG,AH,17.86
6724,01/04/2020,2.0,1.0,N,HB_HUBAVG,AH,16.95
6816,01/04/2020,3.0,1.0,N,HB_HUBAVG,AH,16.1
6908,01/04/2020,4.0,1.0,N,HB_HUBAVG,AH,14.75
7000,01/04/2020,5.0,1.0,N,HB_HUBAVG,AH,15.28
7092,01/04/2020,6.0,1.0,N,HB_HUBAVG,AH,17.48
7184,01/04/2020,7.0,1.0,N,HB_HUBAVG,AH,17.57
7276,01/04/2020,8.0,1.0,N,HB_HUBAVG,AH,18.87
7368,01/04/2020,9.0,1.0,N,HB_HUBAVG,AH,20.43
7460,01/04/2020,10.0,1.0,N,HB_HUBAVG,AH,20.46
7552,01/04/2020,11.0,1.0,N,HB_HUBAVG,AH,21.62
7644,01/04/2020,12.0,1.0,N,HB_HUBAVG,AH,21.03
7736,01/04/2020,13.0,1.0,N,HB_HUBAVG,AH,18.74
7828,01/04/2020,14.0,1.0,N,HB_HUBAVG,AH,18.04
7920,01/04/2020,15.0,1.0,N,HB_HUBAVG,AH,17.47
8012,01/04/2020,16.0,1.0,N,HB_HUBAVG,AH,16.39
8104,01/04/2020,17.0,1.0,N,HB_HUBAVG,AH,15.92
8196,01/04/2020,18.0,1.0,N,HB_HUBAVG,AH,16.81
8288,01/04/2020,19.0,1.0,N,HB_HUBAVG,AH,18.09
8380,01/04/2020,20.0,1.0,N,HB_HUBAVG,AH,16.97
8472,01/04/2020,21.0,1.0,N,HB_HUBAVG,AH,16.4
8564,01/04/2020,22.0,1.0,N,HB_HUBAVG,AH,14.14
8656,01/04/2020,23.0,1.0,N,HB_HUBAVG,AH,11.74
8748,01/04/2020,24.0,1.0,N,HB_HUBAVG,AH,8.97
8840,01/05/2020,1.0,1.0,N,HB_HUBAVG,AH,7.0
8932,01/05/2020,2.0,1.0,N,HB_HUBAVG,AH,5.39
9024,01/05/2020,3.0,1.0,N,HB_HUBAVG,AH,7.31
9116,01/05/2020,4.0,1.0,N,HB_HUBAVG,AH,10.66
9208,01/05/2020,5.0,1.0,N,HB_HUBAVG,AH,12.38
9300,01/05/2020,6.0,1.0,N,HB_HUBAVG,AH,14.39
9392,01/05/2020,7.0,1.0,N,HB_HUBAVG,AH,17.57
9484,01/05/2020,8.0,1.0,N,HB_HUBAVG,AH,17.82
9576,01/05/2020,9.0,1.0,N,HB_HUBAVG,AH,18.24
9668,01/05/2020,10.0,1.0,N,HB_HUBAVG,AH,17.98
9760,01/05/2020,11.0,1.0,N,HB_HUBAVG,AH,13.78
9852,01/05/2020,12.0,1.0,N,HB_HUBAVG,AH,0.0
9944,01/05/2020,13.0,1.0,N,HB_HUBAVG,AH,6.48
10036,01/05/2020,14.0,1.0,N,HB_HUBAVG,AH,13.66
10128,01/05/2020,15.0,1.0,N,HB_HUBAVG,AH,17.1
10220,01/05/2020,16.0,1.0,N,HB_HUBAVG,AH,16.97
10312,01/05/2020,17.0,1.0,N,HB_HUBAVG,AH,17.12
10404,01/05/2020,18.0,1.0,N,HB_HUBAVG,AH,17.88
10496,01/05/2020,19.0,1.0,N,HB_HUBAVG,AH,20.44
10588,01/05/2020,20.0,1.0,N,HB_HUBAVG,AH,18.38
10680,01/05/2020,21.0,1.0,N,HB_HUBAVG,AH,17.4
10772,01/05/2020,22.0,1.0,N,HB_HUBAVG,AH,16.6
10864,01/05/2020,23.0,1.0,N,HB_HUBAVG,AH,15.17
10956,01/05/2020,24.0,1.0,N,HB_HUBAVG,AH,14.75
11048,01/06/2020,1.0,1.0,N,HB_HUBAVG,AH,14.32
11140,01/06/2020,2.0,1.0,N,HB_HUBAVG,AH,13.89
11232,01/06/2020,3.0,1.0,N,HB_HUBAVG,AH,13.76
11324,01/06/2020,4.0,1.0,N,HB_HUBAVG,AH,14.04
11416,01/06/2020,5.0,1.0,N,HB_HUBAVG,AH,15.18
11508,01/06/2020,6.0,1.0,N,HB_HUBAVG,AH,15.65
11600,01/06/2020,7.0,1.0,N,HB_HUBAVG,AH,21.49
11692,01/06/2020,8.0,1.0,N,HB_HUBAVG,AH,22.65
11784,01/06/2020,9.0,1.0,N,HB_HUBAVG,AH,20.32
11876,01/06/2020,10.0,1.0,N,HB_HUBAVG,AH,19.21
11968,01/06/2020,11.0,1.0,N,HB_HUBAVG,AH,18.26
12060,01/06/2020,12.0,1.0,N,HB_HUBAVG,AH,15.97
12152,01/06/2020,13.0,1.0,N,HB_HUBAVG,AH,14.94
12244,01/06/2020,14.0,1.0,N,HB_HUBAVG,AH,12.94
12336,01/06/2020,15.0,1.0,N,HB_HUBAVG,AH,9.96
12428,01/06/2020,16.0,1.0,N,HB_HUBAVG,AH,8.25
12520,01/06/2020,17.0,1.0,N,HB_HUBAVG,AH,9.24
12612,01/06/2020,18.0,1.0,N,HB_HUBAVG,AH,10.6
12704,01/06/2020,19.0,1.0,N,HB_HUBAVG,AH,18.28
12796,01/06/2020,20.0,1.0,N,HB_HUBAVG,AH,18.03
12888,01/06/2020,21.0,1.0,N,HB_HUBAVG,AH,18.59
12980,01/06/2020,22.0,1.0,N,HB_HUBAVG,AH,20.17
13072,01/06/2020,23.0,1.0,N,HB_HUBAVG,AH,19.88
13164,01/06/2020,24.0,1.0,N,HB_HUBAVG,AH,18.51
13256,01/07/2020,1.0,1.0,N,HB_HUBAVG,AH,18.25
13348,01/07/2020,2.0,1.0,N,HB_HUBAVG,AH,17.42
13440,01/07/2020,3.0,1.0,N,HB_HUBAVG,AH,16.84
13532,01/07/2020,4.0,1.0,N,HB_HUBAVG,AH,16.49
13624,01/07/2020,5.0,1.0,N,HB_HUBAVG,AH,17.04
13716,01/07/2020,6.0,1.0,N,HB_HUBAVG,AH,19.88
13808,01/07/2020,7.0,1.0,N,HB_HUBAVG,AH,23.64
13900,01/07/2020,8.0,1.0,N,HB_HUBAVG,AH,22.67
13992,01/07/2020,9.0,1.0,N,HB_HUBAVG,AH,19.25
14084,01/07/2020,10.0,1.0,N,HB_HUBAVG,AH,17.59
14176,01/07/2020,11.0,1.0,N,HB_HUBAVG,AH,17.25
14268,01/07/2020,12.0,1.0,N,HB_HUBAVG,AH,15.67
14360,01/07/2020,13.0,1.0,N,HB_HUBAVG,AH,12.97
14452,01/07/2020,14.0,1.0,N,HB_HUBAVG,AH,12.7
14544,01/07/2020,15.0,1.0,N,HB_HUBAVG,AH,13.03
14636,01/07/2020,16.0,1.0,N,HB_HUBAVG,AH,13.22
14728,01/07/2020,17.0,1.0,N,HB_HUBAVG,AH,14.25
14820,01/07/2020,18.0,1.0,N,HB_HUBAVG,AH,17.31
14912,01/07/2020,19.0,1.0,N,HB_HUBAVG,AH,18.1
15004,01/07/2020,20.0,1.0,N,HB_HUBAVG,AH,16.74
15096,01/07/2020,21.0,1.0,N,HB_HUBAVG,AH,15.58
15188,01/07/2020,22.0,1.0,N,HB_HUBAVG,AH,11.52
15280,01/07/2020,23.0,1.0,N,HB_HUBAVG,AH,12.07
15372,01/07/2020,24.0,1.0,N,HB_HUBAVG,AH,12.97
15464,01/08/2020,1.0,1.0,N,HB_HUBAVG,AH,12.89
15556,01/08/2020,2.0,1.0,N,HB_HUBAVG,AH,13.32
15648,01/08/2020,3.0,1.0,N,HB_HUBAVG,AH,14.86
15740,01/08/2020,4.0,1.0,N,HB_HUBAVG,AH,14.68
15832,01/08/2020,5.0,1.0,N,HB_HUBAVG,AH,17.05
15924,01/08/2020,6.0,1.0,N,HB_HUBAVG,AH,135.52
16016,01/08/2020,7.0,1.0,N,HB_HUBAVG,AH,614.8
16108,01/08/2020,8.0,1.0,N,HB_HUBAVG,AH,19.38
16200,01/08/2020,9.0,1.0,N,HB_HUBAVG,AH,13.98
16292,01/08/2020,10.0,1.0,N,HB_HUBAVG,AH,14.08
16384,01/08/2020,11.0,1.0,N,HB_HUBAVG,AH,11.47
16476,01/08/2020,12.0,1.0,N,HB_HUBAVG,AH,11.66
16568,01/08/2020,13.0,1.0,N,HB_HUBAVG,AH,10.35
16660,01/08/2020,14.0,1.0,N,HB_HUBAVG,AH,10.4
16752,01/08/2020,15.0,1.0,N,HB_HUBAVG,AH,9.64
16844,01/08/2020,16.0,1.0,N,HB_HUBAVG,AH,8.3
16936,01/08/2020,17.0,1.0,N,HB_HUBAVG,AH,9.57
17028,01/08/2020,18.0,1.0,N,HB_HUBAVG,AH,10.24
17120,01/08/2020,19.0,1.0,N,HB_HUBAVG,AH,11.79
17212,01/08/2020,20.0,1.0,N,HB_HUBAVG,AH,11.36
17304,01/08/2020,21.0,1.0,N,HB_HUBAVG,AH,11.43
17396,01/08/2020,22.0,1.0,N,HB_HUBAVG,AH,10.93
17488,01/08/2020,23.0,1.0,N,HB_HUBAVG,AH,10.26
17580,01/08/2020,24.0,1.0,N,HB_HUBAVG,AH,5.6
17672,01/09/2020,1.0,1.0,N,HB_HUBAVG,AH,3.87
17764,01/09/2020,2.0,1.0,N,HB_HUBAVG,AH,3.63
17856,01/09/2020,3.0,1.0,N,HB_HUBAVG,AH,1.22
17948,01/09/2020,4.0,1.0,N,HB_HUBAVG,AH,-0.68
18040,01/09/2020,5.0,1.0,N,HB_HUBAVG,AH,0.61
18132,01/09/2020,6.0,1.0,N,HB_HUBAVG,AH,-1.12
18224,01/09/2020,7.0,1.0,N,HB_HUBAVG,AH,11.04
18316,01/09/2020,8.0,1.0,N,HB_HUBAVG,AH,15.28
18408,01/09/2020,9.0,1.0,N,HB_HUBAVG,AH,15.84
18500,01/09/2020,10.0,1.0,N,HB_HUBAVG,AH,16.07
18592,01/09/2020,11.0,1.0,N,HB_HUBAVG,AH,16.74
18684,01/09/2020,12.0,1.0,N,HB_HUBAVG,AH,16.79
18776,01/09/2020,13.0,1.0,N,HB_HUBAVG,AH,17.12
18868,01/09/2020,14.0,1.0,N,HB_HUBAVG,AH,18.39
18960,01/09/2020,15.0,1.0,N,HB_HUBAVG,AH,18.5
19052,01/09/2020,16.0,1.0,N,HB_HUBAVG,AH,17.51
19144,01/09/2020,17.0,1.0,N,HB_HUBAVG,AH,18.03
19236,01/09/2020,18.0,1.0,N,HB_HUBAVG,AH,164.2
19328,01/09/2020,19.0,1.0,N,HB_HUBAVG,AH,20.21
19420,01/09/2020,20.0,1.0,N,HB_HUBAVG,AH,16.86
19512,01/09/2020,21.0,1.0,N,HB_HUBAVG,AH,14.91
19604,01/09/2020,22.0,1.0,N,HB_HUBAVG,AH,12.39
19696,01/09/2020,23.0,1.0,N,HB_HUBAVG,AH,9.09
19788,01/09/2020,24.0,1.0,N,HB_HUBAVG,AH,5.99
19880,01/10/2020,1.0,1.0,N,HB_HUBAVG,AH,6.79
19972,01/10/2020,2.0,1.0,N,HB_HUBAVG,AH,8.79
20064,01/10/2020,3.0,1.0,N,HB_HUBAVG,AH,11.95
20156,01/10/2020,4.0,1.0,N,HB_HUBAVG,AH,12.52
20248,01/10/2020,5.0,1.0,N,HB_HUBAVG,AH,10.25
20340,01/10/2020,6.0,1.0,N,HB_HUBAVG,AH,9.23
20432,01/10/2020,7.0,1.0,N,HB_HUBAVG,AH,12.77
20524,01/10/2020,8.0,1.0,N,HB_HUBAVG,AH,16.05
20616,01/10/2020,9.0,1.0,N,HB_HUBAVG,AH,17.06
20708,01/10/2020,10.0,1.0,N,HB_HUBAVG,AH,17.42
20800,01/10/2020,11.0,1.0,N,HB_HUBAVG,AH,16.19
20892,01/10/2020,12.0,1.0,N,HB_HUBAVG,AH,17.4
20984,01/10/2020,13.0,1.0,N,HB_HUBAVG,AH,16.97
21076,01/10/2020,14.0,1.0,N,HB_HUBAVG,AH,16.11
21168,01/10/2020,15.0,1.0,N,HB_HUBAVG,AH,14.59
21260,01/10/2020,16.0,1.0,N,HB_HUBAVG,AH,14.02
21352,01/10/2020,17.0,1.0,N,HB_HUBAVG,AH,11.54
21444,01/10/2020,18.0,1.0,N,HB_HUBAVG,AH,10.73
21536,01/10/2020,19.0,1.0,N,HB_HUBAVG,AH,13.14
21628,01/10/2020,20.0,1.0,N,HB_HUBAVG,AH,11.72
21720,01/10/2020,21.0,1.0,N,HB_HUBAVG,AH,6.96
21812,01/10/2020,22.0,1.0,N,HB_HUBAVG,AH,6.74
21904,01/10/2020,23.0,1.0,N,HB_HUBAVG,AH,8.94
21996,01/10/2020,24.0,1.0,N,HB_HUBAVG,AH,7.42
22088,01/11/2020,1.0,1.0,N,HB_HUBAVG,AH,6.7
22180,01/11/2020,2.0,1.0,N,HB_HUBAVG,AH,8.36
22272,01/11/2020,3.0,1.0,N,HB_HUBAVG,AH,6.3
22364,01/11/2020,4.0,1.0,N,HB_HUBAVG,AH,3.23
22456,01/11/2020,5.0,1.0,N,HB_HUBAVG,AH,-0.16
22548,01/11/2020,6.0,1.0,N,HB_HUBAVG,AH,1.3
22640,01/11/2020,7.0,1.0,N,HB_HUBAVG,AH,5.43
22732,01/11/2020,8.0,1.0,N,HB_HUBAVG,AH,10.57
22824,01/11/2020,9.0,1.0,N,HB_HUBAVG,AH,13.37
22916,01/11/2020,10.0,1.0,N,HB_HUBAVG,AH,15.3
23008,01/11/2020,11.0,1.0,N,HB_HUBAVG,AH,18.51
23100,01/11/2020,12.0,1.0,N,HB_HUBAVG,AH,33.76
23192,01/11/2020,13.0,1.0,N,HB_HUBAVG,AH,18.64
23284,01/11/2020,14.0,1.0,N,HB_HUBAVG,AH,16.77
23376,01/11/2020,15.0,1.0,N,HB_HUBAVG,AH,13.71
23468,01/11/2020,16.0,1.0,N,HB_HUBAVG,AH,12.46
23560,01/11/2020,17.0,1.0,N,HB_HUBAVG,AH,13.22
23652,01/11/2020,18.0,1.0,N,HB_HUBAVG,AH,16.55
23744,01/11/2020,19.0,1.0,N,HB_HUBAVG,AH,19.21
23836,01/11/2020,20.0,1.0,N,HB_HUBAVG,AH,17.51
23928,01/11/2020,21.0,1.0,N,HB_HUBAVG,AH,13.84
24020,01/11/2020,22.0,1.0,N,HB_HUBAVG,AH,13.27
24112,01/11/2020,23.0,1.0,N,HB_HUBAVG,AH,10.4
24204,01/11/2020,24.0,1.0,N,HB_HUBAVG,AH,11.48
24296,01/12/2020,1.0,1.0,N,HB_HUBAVG,AH,10.49
24388,01/12/2020,2.0,1.0,N,HB_HUBAVG,AH,10.74
24480,01/12/2020,3.0,1.0,N,HB_HUBAVG,AH,10.5
24572,01/12/2020,4.0,1.0,N,HB_HUBAVG,AH,11.56
