COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Industry,Temperature Band,Label,Temp_degC,FUEL_TYPE,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
ADAMS,31001,1000063,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1000063,233,Natural Gas (Weighted U.S. Average),591.3403905,591.3403905,0.029769915,164261.35099230902,18.75129577537774,NG_Type
ADAMS,31001,1000063,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1000063,450,Natural Gas (Weighted U.S. Average),1302.5470764000002,1302.5470764000002,0.065574271,361818.92178823927,41.3035298845022,NG_Type
ADAMS COUNTY,31001,1002067,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002067,233,Natural Gas (Weighted U.S. Average),95.12032434,95.12032434,0.004788653,26422.33345451652,3.016248111246178,NG_Type
ADAMS COUNTY,31001,1002067,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002067,450,Natural Gas (Weighted U.S. Average),209.52179547,209.52179547,0.010547979,58200.545302065664,6.64389786553261,NG_Type
ANDERSON,20003,1004792,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004792,233,Natural Gas (Weighted U.S. Average),286.5758735,286.5758735,0.014427121,79604.472989083,9.087268606059704,NG_Type
ANDERSON,20003,1004792,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004792,450,Natural Gas (Weighted U.S. Average),631.2414511,631.2414511,0.031778658,175344.98780365582,20.016551119138793,NG_Type
ATCHISON COUNTY,20005,1002865,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002865,233,Natural Gas (Weighted U.S. Average),821.6869361,821.6869361,0.041366276,228246.55373598583,26.055542663925323,NG_Type
ATCHISON COUNTY,20005,1002865,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002865,450,Natural Gas (Weighted U.S. Average),1809.9320351000001,1809.9320351000001,0.091117609,502759.3008460079,57.39261425182738,NG_Type
BEADLE,46005,1002074,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002074,233,Natural Gas (Weighted U.S. Average)Other Biomass Gases,251.4867591,251.4867591,0.012660626,69857.4889692798,7.97459919740637,NG_TypeNG_Type
BEADLE,46005,1002074,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002074,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,553.950564,554.272960005,0.027903605,153964.8342842689,17.57589432468823,NG_TypeNG_Type
BON HOMME,46009,1004103,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1004103,233,Natural Gas (Weighted U.S. Average),98.15225735,98.15225735,0.00494129,27264.5377421683,3.1123901532155593,NG_Type
BON HOMME,46009,1004103,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1004103,450,Natural Gas (Weighted U.S. Average),216.20024253999998,216.20024253999998,0.010884193,60055.670972276115,6.855670202314625,NG_Type
BOONE,31011,1003150,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1003150,233,Natural Gas (Weighted U.S. Average),1055.502093,1055.502093,0.053137258,293195.260389354,33.46977858325959,NG_Type
BOONE,31011,1003150,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1003150,450,Natural Gas (Weighted U.S. Average),2324.957314,2324.957314,0.11704558200000001,645821.9927682921,73.7239717772023,NG_Type
BROOKINGS,46011,1003779,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1003779,233,Natural Gas (Weighted U.S. Average),1155.235021,1155.235021,0.058158124,320898.873663338,36.63229151407968,NG_Type
