,Date,HourEnding,Settlement Point Price
0,2021/01/01,1,0.0
1,2021/01/01,2,0.0
2,2021/01/01,3,0.0
3,2021/01/01,4,0.0
4,2021/01/01,5,0.0
5,2021/01/01,6,0.0
6,2021/01/01,7,13.6783
7,2021/01/01,8,14.2909
8,2021/01/01,9,14.0962
9,2021/01/01,10,14.1337
10,2021/01/01,11,19.7354
11,2021/01/01,12,21.9143
12,2021/01/01,13,43.7752
13,2021/01/01,14,64.5377
14,2021/01/01,15,77.4765
15,2021/01/01,16,41.747
16,2021/01/01,17,70.5424
17,2021/01/01,18,18.7432
18,2021/01/01,19,21.0036
19,2021/01/01,20,21.769
20,2021/01/01,21,16.1289
21,2021/01/01,22,16.4081
22,2021/01/01,23,20.7949
23,2021/01/01,24,20.731
24,2021/01/02,1,20.3933
25,2021/01/02,2,19.1734
26,2021/01/02,3,18.7967
27,2021/01/02,4,19.3831
28,2021/01/02,5,19.5472
29,2021/01/02,6,19.4863
30,2021/01/02,7,20.6799
31,2021/01/02,8,20.2045
32,2021/01/02,9,20.2204
33,2021/01/02,10,21.144
34,2021/01/02,11,22.1944
35,2021/01/02,12,22.3736
36,2021/01/02,13,21.8988
37,2021/01/02,14,22.8978
38,2021/01/02,15,24.6637
39,2021/01/02,16,24.6063
40,2021/01/02,17,23.7218
41,2021/01/02,18,21.8854
42,2021/01/02,19,21.0277
43,2021/01/02,20,22.2993
44,2021/01/02,21,19.9853
45,2021/01/02,22,19.2723
46,2021/01/02,23,19.7613
47,2021/01/02,24,20.6331
48,2021/01/03,1,16.6897
49,2021/01/03,2,15.3708
50,2021/01/03,3,11.6407
51,2021/01/03,4,7.2484
52,2021/01/03,5,11.4845
53,2021/01/03,6,9.6876
54,2021/01/03,7,15.6226
55,2021/01/03,8,17.7362
56,2021/01/03,9,20.6544
57,2021/01/03,10,19.8765
58,2021/01/03,11,18.465
59,2021/01/03,12,20.2664
60,2021/01/03,13,21.3376
61,2021/01/03,14,20.5185
62,2021/01/03,15,23.8858
63,2021/01/03,16,26.1979
64,2021/01/03,17,26.6371
65,2021/01/03,18,23.9417
66,2021/01/03,19,22.4883
67,2021/01/03,20,20.058
68,2021/01/03,21,20.8602
69,2021/01/03,22,20.8221
70,2021/01/03,23,21.0644
71,2021/01/03,24,68.9114
72,2021/01/04,1,52.4202
73,2021/01/04,2,21.8297
74,2021/01/04,3,19.5448
75,2021/01/04,4,18.1751
76,2021/01/04,5,15.8761
77,2021/01/04,6,19.9675
78,2021/01/04,7,17.5474
79,2021/01/04,8,15.2719
80,2021/01/04,9,17.5664
81,2021/01/04,10,18.9467
82,2021/01/04,11,18.5925
83,2021/01/04,12,15.5757
84,2021/01/04,13,14.7273
85,2021/01/04,14,12.7161
86,2021/01/04,15,12.3293
87,2021/01/04,16,30.3337
88,2021/01/04,17,15.8235
89,2021/01/04,18,14.5623
90,2021/01/04,19,15.1729
91,2021/01/04,20,15.855
92,2021/01/04,21,16.3689
93,2021/01/04,22,17.4866
94,2021/01/04,23,19.13
95,2021/01/04,24,23.5144
96,2021/01/05,1,51.5403
97,2021/01/05,2,42.4507
98,2021/01/05,3,42.4637
99,2021/01/05,4,23.6181
100,2021/01/05,5,22.7253
101,2021/01/05,6,19.24
102,2021/01/05,7,18.7326
103,2021/01/05,8,18.1679
104,2021/01/05,9,17.1206
105,2021/01/05,10,15.9453
106,2021/01/05,11,14.9925
107,2021/01/05,12,13.2034
108,2021/01/05,13,25.6254
109,2021/01/05,14,36.181
110,2021/01/05,15,8.1044
111,2021/01/05,16,10.1944
112,2021/01/05,17,2.7971
113,2021/01/05,18,2.8371
114,2021/01/05,19,4.4783
115,2021/01/05,20,-0.3433
116,2021/01/05,21,-9.5305
117,2021/01/05,22,-11.9974
118,2021/01/05,23,-2.227
119,2021/01/05,24,1.8361
120,2021/01/06,1,12.4264
121,2021/01/06,2,13.2491
122,2021/01/06,3,11.0661
123,2021/01/06,4,10.3651
124,2021/01/06,5,5.2814
125,2021/01/06,6,-8.0568
126,2021/01/06,7,-8.3018
127,2021/01/06,8,3.0568
128,2021/01/06,9,14.3757
129,2021/01/06,10,13.119
130,2021/01/06,11,13.3192
131,2021/01/06,12,13.6466
132,2021/01/06,13,14.2396
133,2021/01/06,14,15.6329
134,2021/01/06,15,12.6331
135,2021/01/06,16,14.4197
136,2021/01/06,17,16.4645
137,2021/01/06,18,0.8632
138,2021/01/06,19,13.3413
139,2021/01/06,20,19.8316
140,2021/01/06,21,18.4259
141,2021/01/06,22,22.9477
142,2021/01/06,23,22.1454
143,2021/01/06,24,86.0079
144,2021/01/07,1,31.2891
145,2021/01/07,2,21.67
146,2021/01/07,3,42.5022
147,2021/01/07,4,17.4685
148,2021/01/07,5,16.6155
149,2021/01/07,6,15.425
150,2021/01/07,7,13.3627
151,2021/01/07,8,13.7708
152,2021/01/07,9,13.5494
153,2021/01/07,10,15.2828
154,2021/01/07,11,15.6264
155,2021/01/07,12,19.6164
156,2021/01/07,13,20.5947
157,2021/01/07,14,25.0822
158,2021/01/07,15,24.1691
159,2021/01/07,16,25.7973
160,2021/01/07,17,27.8064
161,2021/01/07,18,23.1938
162,2021/01/07,19,23.1063
163,2021/01/07,20,22.9859
164,2021/01/07,21,22.8758
165,2021/01/07,22,24.3549
166,2021/01/07,23,25.6409
167,2021/01/07,24,26.8844
168,2021/01/08,1,27.2695
169,2021/01/08,2,26.5794
170,2021/01/08,3,26.1583
171,2021/01/08,4,24.1149
172,2021/01/08,5,24.9683
173,2021/01/08,6,22.968
174,2021/01/08,7,21.6332
175,2021/01/08,8,21.5132
176,2021/01/08,9,20.9234
177,2021/01/08,10,21.9611
178,2021/01/08,11,23.0069
179,2021/01/08,12,23.4837
180,2021/01/08,13,25.398
181,2021/01/08,14,26.2534
182,2021/01/08,15,27.3816
183,2021/01/08,16,85.74
184,2021/01/08,17,30.7338
185,2021/01/08,18,27.412
186,2021/01/08,19,28.793
187,2021/01/08,20,28.3913
188,2021/01/08,21,27.851
189,2021/01/08,22,27.1495
190,2021/01/08,23,27.1009
191,2021/01/08,24,31.6396
192,2021/01/09,1,30.1803
193,2021/01/09,2,30.333
194,2021/01/09,3,62.0556
195,2021/01/09,4,28.546
196,2021/01/09,5,28.97
197,2021/01/09,6,28.2677
198,2021/01/09,7,32.115
199,2021/01/09,8,30.1641
200,2021/01/09,9,31.5721
201,2021/01/09,10,32.0478
202,2021/01/09,11,28.2126
203,2021/01/09,12,28.8219
204,2021/01/09,13,26.8964
205,2021/01/09,14,31.6729
206,2021/01/09,15,31.7305
207,2021/01/09,16,34.125
208,2021/01/09,17,31.8588
209,2021/01/09,18,48.1891
210,2021/01/09,19,29.9592
211,2021/01/09,20,72.918
212,2021/01/09,21,39.3978
213,2021/01/09,22,76.7618
214,2021/01/09,23,135.2163
215,2021/01/09,24,32.242
216,2021/01/10,1,28.6486
217,2021/01/10,2,28.6905
218,2021/01/10,3,28.747
219,2021/01/10,4,25.5929
220,2021/01/10,5,26.9649
221,2021/01/10,6,23.9313
222,2021/01/10,7,23.6813
223,2021/01/10,8,21.848
224,2021/01/10,9,21.5915
