,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr
0,LAKE,18089,1000588,331111,Natural Gas (Weighted U.S. Average),331111,2015,IN,1100,Iron and Steel Mills,7030.929752,7030.929752,0.35395887299999995,1953037.6046510562,222.94949824783748
0,LAKE,18089,1000588,331111,Natural Gas (Weighted U.S. Average),331111,2015,IN,180,Iron and Steel Mills,1060.2195657,1060.2195657,0.053374751,294505.6705210146,33.61936878093775
0,Cuyahoga,39035,1007177,331111,Natural Gas (Weighted U.S. Average),331111,2015,OH,1100,Iron and Steel Mills,7817.602161,7817.602161,0.393562409,2171557.8930782583,247.8947366527692
0,Cuyahoga,39035,1007177,331111,Natural Gas (Weighted U.S. Average),331111,2015,OH,180,Iron and Steel Mills,1178.8447704,1178.8447704,0.059346711999999996,327457.14263217116,37.38095235527068
0,PORTER,18127,1003962,331111,Natural Gas (Weighted U.S. Average),331111,2015,IN,1100,Iron and Steel Mills,13786.761588000001,13786.761588000001,0.694068461,3829659.0603914643,437.17569182550966
0,PORTER,18127,1003962,331111,Natural Gas (Weighted U.S. Average),331111,2015,IN,180,Iron and Steel Mills,2078.9561119,2078.9561119,0.104661117,577488.2708513583,65.9233185903377
0,Butler,39017,1000274,331111,Natural Gas (Weighted U.S. Average),331111,2015,OH,1100,Iron and Steel Mills,24286.13409,24286.13409,1.222639529,6746153.75525202,770.108876170322
0,Butler,39017,1000274,331111,Natural Gas (Weighted U.S. Average),331111,2015,OH,180,Iron and Steel Mills,3662.194823,3662.194823,0.184366278,1017277.1535432942,116.12752894329842
0,WAYNE,26163,1003403,331111,Natural Gas (Weighted U.S. Average),331111,2015,MI,1100,Iron and Steel Mills,5156.028204800001,5156.028204800001,0.259570497,1432231.2026729346,163.49671263389664
0,WAYNE,26163,1003403,331111,Natural Gas (Weighted U.S. Average),331111,2015,MI,180,Iron and Steel Mills,777.49631658,777.49631658,0.03914158400000001,215971.37182695928,24.654266190292155
0,WAYNE,26163,1001834,331111,Natural Gas (Weighted U.S. Average),331111,2015,MI,1100,Iron and Steel Mills,5430.518692,5430.518692,0.273389202,1508478.621226376,172.2007558477598
0,WAYNE,26163,1001834,331111,Natural Gas (Weighted U.S. Average),331111,2015,MI,180,Iron and Steel Mills,818.8877391000001,818.8877391000001,0.041225356,227468.99839171983,25.966780638324185
0,Lake,18089,1000418,331111,Natural Gas (Weighted U.S. Average),331111,2015,IN,1100,Iron and Steel Mills,18094.319519999997,18094.319519999997,0.910924325,5026203.8876265595,573.7675670806575
0,Lake,18089,1000418,331111,Natural Gas (Weighted U.S. Average),331111,2015,IN,180,Iron and Steel Mills,2728.508499,2728.508499,0.137361605,757919.6338352221,86.5205061455733
0,Allegheny,42003,1000233,331111,Natural Gas (Weighted U.S. Average),331111,2015,PA,1100,Iron and Steel Mills,569.7246673,569.7246673,0.028681712,158256.9786332594,18.065865140783036
