,Demanded Energy MWht,,,,r,t,e_allowable,e
1/1/2019 0:00,122.7,1,,,108,93,5,0
1/1/2019 1:00,122.7,2,,,126,90,12,0
1/1/2019 2:00,122.7,3,,,144,89,18.33333333,48
1/1/2019 3:00,122.7,4,,,162,90,24,54
1/1/2019 4:00,122.7,5,,,180,70,36.66666667,60
1/1/2019 5:00,122.7,6,,,180,65,38.33333333,60
1/1/2019 6:00,122.7,7,,,180,60,40,60
1/1/2019 7:00,122.7,8,,,180,55,41.66666667,60
1/1/2019 8:00,122.7,9,,,180,50,43.33333333,60
1/1/2019 9:00,122.7,10,,,180,45,45,60
1/1/2019 10:00,122.7,11,,,180,40,46.66666667,60
1/1/2019 11:00,122.7,12,,,180,35,48.33333333,60
1/1/2019 12:00,122.7,13,,,180,30,50,60
1/1/2019 13:00,122.7,14,,,180,25,51.66666667,60
1/1/2019 14:00,122.7,15,,,180,20,53.33333333,60
1/1/2019 15:00,122.7,16,,,180,15,55,60
1/1/2019 16:00,122.7,17,,,180,10,56.66666667,60
1/1/2019 17:00,122.7,18,,,180,10,56.66666667,60
1/1/2019 18:00,122.7,19,,,180,10,56.66666667,60
1/1/2019 19:00,122.7,20,,,180,10,56.66666667,60
1/1/2019 20:00,122.7,21,,,180,10,56.66666667,60
1/1/2019 21:00,122.7,22,,,180,10,56.66666667,60
1/1/2019 22:00,122.7,23,,,180,10,56.66666667,60
1/1/2019 23:00,122.7,24,,,180,10,56.66666667,60
1/2/2019 0:00,122.7,25,,,180,10,56.66666667,60
1/2/2019 1:00,122.7,26,,,180,10,56.66666667,60
1/2/2019 2:00,122.7,27,,,180,10,56.66666667,60
1/2/2019 3:00,122.7,28,,,180,10,56.66666667,60
1/2/2019 4:00,122.7,29,,,180,10,56.66666667,60
1/2/2019 5:00,122.7,30,,,180,10,56.66666667,60
1/2/2019 6:00,122.7,31,,,180,10,56.66666667,60
1/2/2019 7:00,122.7,32,,,180,10,56.66666667,60
1/2/2019 8:00,122.7,33,,,180,10,56.66666667,60
1/2/2019 9:00,122.7,34,,,180,10,56.66666667,60
1/2/2019 10:00,122.7,35,,,180,10,56.66666667,60
1/2/2019 11:00,122.7,36,,,180,10,56.66666667,60
1/2/2019 12:00,122.7,37,,,180,10,56.66666667,60
1/2/2019 13:00,122.7,38,,,180,10,56.66666667,60
1/2/2019 14:00,122.7,39,,,180,10,56.66666667,60
1/2/2019 15:00,122.7,40,,,180,10,56.66666667,60
1/2/2019 16:00,122.7,41,,,180,10,56.66666667,60
1/2/2019 17:00,122.7,42,,,180,10,56.66666667,60
1/2/2019 18:00,122.7,43,,,180,10,56.66666667,60
1/2/2019 19:00,122.7,44,,,180,10,56.66666667,60
1/2/2019 20:00,122.7,45,,,180,10,56.66666667,60
1/2/2019 21:00,122.7,46,,,180,10,56.66666667,60
1/2/2019 22:00,122.7,47,,,180,10,56.66666667,60
1/2/2019 23:00,122.7,48,,,180,10,56.66666667,60
1/3/2019 0:00,122.7,49,,,180,10,56.66666667,60
1/3/2019 1:00,122.7,50,,,180,10,56.66666667,60
1/3/2019 2:00,122.7,51,,,180,10,56.66666667,60
1/3/2019 3:00,122.7,52,,,180,10,56.66666667,60
1/3/2019 4:00,122.7,53,,,180,10,56.66666667,60
1/3/2019 5:00,122.7,54,,,180,10,56.66666667,60
1/3/2019 6:00,122.7,55,,,180,10,56.66666667,60
1/3/2019 7:00,122.7,56,,,180,10,56.66666667,60
1/3/2019 8:00,122.7,57,,,180,10,56.66666667,60
1/3/2019 9:00,122.7,58,,,180,10,56.66666667,60
1/3/2019 10:00,122.7,59,,,180,10,56.66666667,60
1/3/2019 11:00,122.7,60,,,180,10,56.66666667,60
1/3/2019 12:00,122.7,61,,,180,10,56.66666667,60
1/3/2019 13:00,122.7,62,,,180,10,56.66666667,60
1/3/2019 14:00,122.7,63,,,180,10,56.66666667,60
1/3/2019 15:00,122.7,64,,,180,10,56.66666667,60
1/3/2019 16:00,122.7,65,,,180,10,56.66666667,60
1/3/2019 17:00,122.7,66,,,180,10,56.66666667,60
1/3/2019 18:00,122.7,67,,,180,10,56.66666667,60
1/3/2019 19:00,122.7,68,,,180,10,56.66666667,60
1/3/2019 20:00,122.7,69,,,180,10,56.66666667,60
1/3/2019 21:00,122.7,70,,,180,10,56.66666667,60
1/3/2019 22:00,122.7,71,,,180,10,56.66666667,60
1/3/2019 23:00,122.7,72,,,180,10,56.66666667,60
1/4/2019 0:00,122.7,73,,,180,10,56.66666667,60
1/4/2019 1:00,122.7,74,,,180,10,56.66666667,60
1/4/2019 2:00,122.7,75,,,180,10,56.66666667,60
1/4/2019 3:00,122.7,76,,,180,10,56.66666667,60
1/4/2019 4:00,122.7,77,,,180,10,56.66666667,60
1/4/2019 5:00,122.7,78,,,180,10,56.66666667,60
1/4/2019 6:00,122.7,79,,,180,10,56.66666667,60
1/4/2019 7:00,122.7,80,,,180,10,56.66666667,60
1/4/2019 8:00,122.7,81,,,180,10,56.66666667,60
1/4/2019 9:00,122.7,82,,,180,10,56.66666667,60
1/4/2019 10:00,122.7,83,,,180,10,56.66666667,60
1/4/2019 11:00,122.7,84,,,180,10,56.66666667,60
1/4/2019 12:00,122.7,85,,,180,10,56.66666667,60
1/4/2019 13:00,122.7,86,,,180,10,56.66666667,60
1/4/2019 14:00,122.7,87,,,180,10,56.66666667,60
1/4/2019 15:00,122.7,88,,,180,10,56.66666667,60
1/4/2019 16:00,122.7,89,,,180,10,56.66666667,60
1/4/2019 17:00,122.7,90,,,180,10,56.66666667,60
1/4/2019 18:00,122.7,91,,,180,10,56.66666667,60
1/4/2019 19:00,122.7,92,,,180,10,56.66666667,60
1/4/2019 20:00,122.7,93,,,180,10,56.66666667,60
1/4/2019 21:00,122.7,94,,,180,10,56.66666667,60
1/4/2019 22:00,122.7,95,,,180,10,56.66666667,60
1/4/2019 23:00,122.7,96,,,180,10,56.66666667,60
1/5/2019 0:00,122.7,97,,,180,10,56.66666667,60
1/5/2019 1:00,122.7,98,,,180,10,56.66666667,60
1/5/2019 2:00,122.7,99,,,180,10,56.66666667,60
1/5/2019 3:00,122.7,100,,,180,10,56.66666667,60
1/5/2019 4:00,122.7,101,,,180,10,56.66666667,60
1/5/2019 5:00,122.7,102,,,180,10,56.66666667,60
1/5/2019 6:00,122.7,103,,,180,10,56.66666667,60
1/5/2019 7:00,122.7,104,,,180,10,56.66666667,60
