,Settlement Point Price
1/1/2019 0:00,2.35
1/1/2019 1:00,2.23
1/1/2019 2:00,15.63
1/1/2019 3:00,15.66
1/1/2019 4:00,15.61
1/1/2019 5:00,16.92
1/1/2019 6:00,17.07
1/1/2019 7:00,19.3
1/1/2019 8:00,19.55
1/1/2019 9:00,17.37
1/1/2019 10:00,18.46
1/1/2019 11:00,20.65
1/1/2019 12:00,22.01
1/1/2019 13:00,21.96
1/1/2019 14:00,22.76
1/1/2019 15:00,22.99
1/1/2019 16:00,23.72
1/1/2019 17:00,27.5
1/1/2019 18:00,28.6
1/1/2019 19:00,27.03
1/1/2019 20:00,26.01
1/1/2019 21:00,24.59
1/1/2019 22:00,23.49
1/1/2019 23:00,23.02
1/2/2019 0:00,22.97
1/2/2019 1:00,22.97
1/2/2019 2:00,23.15
1/2/2019 3:00,23.56
1/2/2019 4:00,25.23
1/2/2019 5:00,26.54
1/2/2019 6:00,27.29
1/2/2019 7:00,27.77
1/2/2019 8:00,28.28
1/2/2019 9:00,30.83
1/2/2019 10:00,28.3
1/2/2019 11:00,27.68
1/2/2019 12:00,26.79
1/2/2019 13:00,25.95
1/2/2019 14:00,25.56
1/2/2019 15:00,26.76
1/2/2019 16:00,28.61
1/2/2019 17:00,30.74
1/2/2019 18:00,35.56
1/2/2019 19:00,33.69
1/2/2019 20:00,29.47
1/2/2019 21:00,26.86
1/2/2019 22:00,25.19
1/2/2019 23:00,22.88
1/3/2019 0:00,21.26
1/3/2019 1:00,20.9
1/3/2019 2:00,21.4
1/3/2019 3:00,21.59
1/3/2019 4:00,23.58
1/3/2019 5:00,26.64
1/3/2019 6:00,35.31
1/3/2019 7:00,25.68
1/3/2019 8:00,25.09
1/3/2019 9:00,24.75
1/3/2019 10:00,24.88
1/3/2019 11:00,23.53
1/3/2019 12:00,22.73
1/3/2019 13:00,22.29
1/3/2019 14:00,22.09
1/3/2019 15:00,22.25
1/3/2019 16:00,23.02
1/3/2019 17:00,26.02
1/3/2019 18:00,29.8
1/3/2019 19:00,26.33
1/3/2019 20:00,24.5
1/3/2019 21:00,23
1/3/2019 22:00,20.59
1/3/2019 23:00,19.45
1/4/2019 0:00,16.3
1/4/2019 1:00,16.25
1/4/2019 2:00,16.26
1/4/2019 3:00,18.34
1/4/2019 4:00,20.74
1/4/2019 5:00,22.08
1/4/2019 6:00,28.51
1/4/2019 7:00,22.17
1/4/2019 8:00,23.04
1/4/2019 9:00,23.37
1/4/2019 10:00,23.33
1/4/2019 11:00,22.71
1/4/2019 12:00,22.53
1/4/2019 13:00,22.39
1/4/2019 14:00,22.2
1/4/2019 15:00,23.5
1/4/2019 16:00,24.96
1/4/2019 17:00,32.4
1/4/2019 18:00,35.24
