,,,,,4,,,,,,Settlement Point Price
1/1/2019 0:00,25,24.91714286,1/1/2019 0:00,24.91714286,0,1/1/2019 0:00,24.91714286,0,30,30.06009841,45.33072124
1/1/2019 1:00,21,20.985,1/1/2019 0:00,24.91714286,0,1/1/2019 0:00,24.91714286,1,29.33012702,30.08616587,13.08809759
1/1/2019 2:00,20,20.27571429,1/1/2019 0:00,24.91714286,0,1/1/2019 0:00,24.91714286,2,27.5,28.55261614,17.0307871
1/1/2019 3:00,20,20.08142857,1/1/2019 0:00,24.91714286,1,1/1/2019 6:00,23.38071429,3,25,25.58680883,9.611166265
1/1/2019 4:00,20,19.76214286,1/1/2019 0:00,24.91714286,1,1/1/2019 6:00,23.38071429,4,22.5,23.2813941,11.56405171
1/1/2019 5:00,22,21.855,1/1/2019 0:00,24.91714286,1,1/1/2019 6:00,23.38071429,5,20.66987298,22.52498009,3.195827221
1/1/2019 6:00,23,23.38071429,1/1/2019 0:00,24.91714286,1,1/1/2019 6:00,23.38071429,6,20,21.65152169,28.99091783
1/1/2019 7:00,25,25.05428571,1/1/2019 0:00,24.91714286,1,1/1/2019 6:00,23.38071429,7,20.66987298,21.24126448,15.92640539
1/1/2019 8:00,26,25.725,1/1/2019 0:00,24.91714286,1,1/1/2019 6:00,23.38071429,8,22.5,23.48271075,44.93770901
1/1/2019 9:00,26,25.615,1/1/2019 0:00,24.91714286,2,1/1/2019 12:00,25.615,9,25,26.72325569,18.11377892
1/1/2019 10:00,25,25.32571429,1/1/2019 0:00,24.91714286,2,1/1/2019 12:00,25.615,10,27.5,29.35504283,30.39194479
1/1/2019 11:00,25,25.03428571,1/1/2019 0:00,24.91714286,2,1/1/2019 12:00,25.615,11,29.33012702,31.23653574,10.80730275
1/1/2019 12:00,26,25.615,1/1/2019 12:00,25.615,2,1/1/2019 12:00,25.615,12,30,31.45075373,7.114136686
1/1/2019 13:00,24,24.37214286,1/1/2019 12:00,25.615,2,1/1/2019 12:00,25.615,13,29.33012702,30.43673561,12.93881117
1/1/2019 14:00,23,23.09285714,1/1/2019 12:00,25.615,2,1/1/2019 12:00,25.615,14,27.5,29.03811852,1.273123147
1/1/2019 15:00,23,23.10214286,1/1/2019 12:00,25.615,3,1/1/2019 18:00,32.32642857,15,25,26.75525989,33.24607982
1/1/2019 16:00,23,23.12285714,1/1/2019 12:00,25.615,3,1/1/2019 18:00,32.32642857,16,22.5,23.88606386,46.92799964
1/1/2019 17:00,24,24.14928571,1/1/2019 12:00,25.615,3,1/1/2019 18:00,32.32642857,17,20.66987298,21.27424948,5.030924311
1/1/2019 18:00,32,32.32642857,1/1/2019 12:00,25.615,3,1/1/2019 18:00,32.32642857,18,20,21.11560891,44.55840822
1/1/2019 19:00,37,36.94428571,1/1/2019 12:00,25.615,3,1/1/2019 18:00,32.32642857,19,20.66987298,21.51291817,27.08199573
1/1/2019 20:00,32,32.44928571,1/1/2019 12:00,25.615,3,1/1/2019 18:00,32.32642857,20,22.5,23.95331783,23.63205085
1/1/2019 21:00,30,30.38142857,1/1/2019 12:00,25.615,4,1/2/2019 0:00,27.72214286,21,25,25.4846823,27.44517146
1/1/2019 22:00,29,28.61357143,1/1/2019 12:00,25.615,4,1/2/2019 0:00,27.72214286,22,27.5,29.36359497,22.82492548
1/1/2019 23:00,26,26.49357143,1/1/2019 12:00,25.615,4,1/2/2019 0:00,27.72214286,23,29.33012702,29.55465515,26.8315227
1/2/2019 0:00,28,27.72214286,1/2/2019 0:00,27.72214286,0,1/2/2019 0:00,27.72214286,0,30,30.37666304,24.93404965
1/2/2019 1:00,25,24.86428571,1/2/2019 0:00,27.72214286,0,1/2/2019 0:00,27.72214286,1,29.33012702,30.73617365,2.595282097
1/2/2019 2:00,24,24.23142857,1/2/2019 0:00,27.72214286,0,1/2/2019 0:00,27.72214286,2,27.5,28.57802896,19.33235449
1/2/2019 3:00,24,24.255,1/2/2019 0:00,27.72214286,1,1/2/2019 6:00,30.26428571,3,25,25.89964249,28.39383782
1/2/2019 4:00,24,24.06785714,1/2/2019 0:00,27.72214286,1,1/2/2019 6:00,30.26428571,4,22.5,23.0008042,41.30951121
1/2/2019 5:00,27,26.55214286,1/2/2019 0:00,27.72214286,1,1/2/2019 6:00,30.26428571,5,20.66987298,22.45961651,14.73561622
1/2/2019 6:00,30,30.26428571,1/2/2019 0:00,27.72214286,1,1/2/2019 6:00,30.26428571,6,20,21.1901749,39.14417194
1/2/2019 7:00,41,41.05642857,1/2/2019 0:00,27.72214286,1,1/2/2019 6:00,30.26428571,7,20.66987298,21.89340313,44.16936127
1/2/2019 8:00,41,40.95642857,1/2/2019 0:00,27.72214286,1,1/2/2019 6:00,30.26428571,8,22.5,24.26220928,44.52917422
1/2/2019 9:00,38,37.64785714,1/2/2019 0:00,27.72214286,2,1/2/2019 12:00,37.85,9,25,25.25426235,13.470841
1/2/2019 10:00,41,40.86857143,1/2/2019 0:00,27.72214286,2,1/2/2019 12:00,37.85,10,27.5,28.1664386,34.60346319
1/2/2019 11:00,41,40.78785714,1/2/2019 0:00,27.72214286,2,1/2/2019 12:00,37.85,11,29.33012702,30.25862444,15.68697059
1/2/2019 12:00,38,37.85,1/2/2019 12:00,37.85,2,1/2/2019 12:00,37.85,12,30,31.55974484,44.52791087
1/2/2019 13:00,35,35.08714286,1/2/2019 12:00,37.85,2,1/2/2019 12:00,37.85,13,29.33012702,30.52800743,49.27378067
1/2/2019 14:00,35,35.35071429,1/2/2019 12:00,37.85,2,1/2/2019 12:00,37.85,14,27.5,28.32552902,48.15635893
1/2/2019 15:00,35,35.30071429,1/2/2019 12:00,37.85,3,1/2/2019 18:00,66.41642857,15,25,25.37885166,16.07983414
1/2/2019 16:00,35,35.27357143,1/2/2019 12:00,37.85,3,1/2/2019 18:00,66.41642857,16,22.5,22.81235795,42.7612807
1/2/2019 17:00,37,37.26785714,1/2/2019 12:00,37.85,3,1/2/2019 18:00,66.41642857,17,20.66987298,21.9597874,37.97993823
1/2/2019 18:00,66,66.41642857,1/2/2019 12:00,37.85,3,1/2/2019 18:00,66.41642857,18,20,20.59385356,25.65090006
1/2/2019 19:00,69,68.72428571,1/2/2019 12:00,37.85,3,1/2/2019 18:00,66.41642857,19,20.66987298,21.89232552,49.20415941
1/2/2019 20:00,43,43.04785714,1/2/2019 12:00,37.85,3,1/2/2019 18:00,66.41642857,20,22.5,23.47708285,3.672235807
1/2/2019 21:00,42,42.145,1/2/2019 12:00,37.85,4,1/3/2019 0:00,24.15428571,21,25,26.03104294,10.35057701
1/2/2019 22:00,37,37.03928571,1/2/2019 12:00,37.85,4,1/3/2019 0:00,24.15428571,22,27.5,28.83166812,4.184622035
1/2/2019 23:00,33,32.99285714,1/2/2019 12:00,37.85,4,1/3/2019 0:00,24.15428571,23,29.33012702,29.84533403,22.59003856
1/3/2019 0:00,24,24.15428571,1/3/2019 0:00,24.15428571,0,1/3/2019 0:00,24.15428571,0,30,31.07767438,1.139422949
1/3/2019 1:00,28,27.92714286,1/3/2019 0:00,24.15428571,0,1/3/2019 0:00,24.15428571,1,29.33012702,30.57965062,11.6253267
1/3/2019 2:00,25,25.4,1/3/2019 0:00,24.15428571,0,1/3/2019 0:00,24.15428571,2,27.5,29.06132161,31.46482823
1/3/2019 3:00,26,25.94428571,1/3/2019 0:00,24.15428571,1,1/3/2019 6:00,31.40642857,3,25,26.20088484,15.45288288
1/3/2019 4:00,25,25.47142857,1/3/2019 0:00,24.15428571,1,1/3/2019 6:00,31.40642857,4,22.5,23.84008508,11.4633971
1/3/2019 5:00,26,25.65214286,1/3/2019 0:00,24.15428571,1,1/3/2019 6:00,31.40642857,5,20.66987298,22.49963243,4.797844454
1/3/2019 6:00,31,31.40642857,1/3/2019 0:00,24.15428571,1,1/3/2019 6:00,31.40642857,6,20,20.5022809,48.44973875
1/3/2019 7:00,57,56.92857143,1/3/2019 0:00,24.15428571,1,1/3/2019 6:00,31.40642857,7,20.66987298,20.8937529,17.69425314
1/3/2019 8:00,42,42.07142857,1/3/2019 0:00,24.15428571,1,1/3/2019 6:00,31.40642857,8,22.5,23.92332233,36.42979804
1/3/2019 9:00,36,36.365,1/3/2019 0:00,24.15428571,2,1/3/2019 12:00,30.08714286,9,25,26.59318254,42.89258381
1/3/2019 10:00,36,36.23214286,1/3/2019 0:00,24.15428571,2,1/3/2019 12:00,30.08714286,10,27.5,27.67807661,24.53120836
1/3/2019 11:00,33,33.13642857,1/3/2019 0:00,24.15428571,2,1/3/2019 12:00,30.08714286,11,29.33012702,31.17962105,7.205661378
1/3/2019 12:00,30,30.08714286,1/3/2019 12:00,30.08714286,2,1/3/2019 12:00,30.08714286,12,30,31.05457664,42.91470158
